"dir","pct_decoded","decoded","identified_decoder","decode_error"
" ¦   ¦--2563                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--2564                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--2694                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--2733                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--2996                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3048                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3287                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3298                       ",NA,FALSE,"","Matching decoders: 0"
" ¦   ¦--3301                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3310                       ",NA,FALSE,"","argument is of length zero, if (.self$tag_already_loaded(con)) {
    return(TRUE)
}"
" ¦   ¦--3315                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3316                       ",NA,FALSE,"","Matching decoders: 0"
" ¦   ¦--3412                       ",NA,FALSE,"","Matching decoders: 0"
" ¦   ¦--3415                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3426                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3876                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3885                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3890                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3894                       ",NA,FALSE,"","Matching decoders: 0"
" ¦   ¦--3900                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3902                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3908                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3912                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3917                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3922                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3925                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3929                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3933                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3937                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3938                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3943                       ",NA,FALSE,"","ERROR - DataMap_Lotek.1000.1100.1250_InstantSensorData: Parsing file - No matches of 'CSV DATA' found in first 1000 lines of 3943PRESSURE.csv, .self$throw_error(paste0(""Parsing file - No matches of '"", pattern, ""' found in first "", n, "" lines of "", tail(stringr::str_split(fp, .Platform$file.sep)[[1]], 1)))"
" ¦   ¦--3945                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3951                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3952                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3955                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3962                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3968                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3970                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3974                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--3999                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4000                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4001                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4003                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4004                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4007                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4011                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4014                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4023                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
